Soil Moisture,SM_Per,Temp,Humidity,Class
963.0522,5.86,30,46,very dry
866.5833,15.29,44,66,dry
826.6863,19.19,36,50,dry
949.2417,7.21,20,67,very dry
988.218,3.4,13,93,very dry
921.723,9.9,22,55,very dry
980.034,4.2,13,37,very dry
916.608,10.4,36,49,very dry
951.7992,6.96,44,62,very dry
558.558,45.4,13,44,dry
283.371,72.3,12,52,wet
849.6015,16.95,19,84,very dry
855.3303,16.39,19,57,very dry
824.2311,19.43,27,46,dry
940.2393,8.09,12,72,very dry
958.4487,6.31,39,42,very dry
922.2345,9.85,16,53,very dry
958.0395,6.35,39,54,very dry
920.0862,10.06,22,49,dry
917.5287,10.31,19,48,dry
912.0045,10.85,25,51,dry
904.0251,11.63,38,40,dry
959.3694,6.22,34,65,very dry
955.482,6.6,20,60,very dry
938.6025,8.25,34,55,very dry
931.8507,8.91,17,48,very dry
921.723,9.9,22,53,very dry
906.1734,11.42,44,67,dry
885.4065,13.45,30,72,dry
860.343,15.9,42,60,dry
951.7992,6.96,24,42,very dry
955.5843,6.59,29,51,very dry
950.4693,7.09,43,52,very dry
879.78,14,15,60,dry
929.907,9.1,42,75,very dry
862.6959,15.67,31,35,dry
902.7975,11.75,42,50,very dry
889.6008,13.04,13,90,dry
887.8617,13.21,25,32,dry
894.7158,12.54,12,67,dry
892.1583,12.79,22,84,dry
763.2603,25.39,34,65,dry
774.1041,24.33,30,42,dry
905.355,11.5,26,36,dry
832.8243,18.59,24,55,dry
950.4693,7.09,39,50,dry
896.6595,12.35,14,72,dry
861.7752,15.76,32,58,dry
810.8298,20.74,32,61,dry
927.4518,9.34,41,67,very dry
934.5105,8.65,42,62,very dry
941.16,8,13,54,very dry
949.344,7.2,43,64,very dry
794.0526,22.38,33,61,dry
899.7285,12.05,18,51,very dry
909.1401,11.13,13,67,very dry
897.0687,12.31,25,42,very dry
960.597,6.1,43,67,very dry
919.7793,10.09,17,43,very dry
937.1703,8.39,33,64,very dry
920.4954,10.02,16,58,very dry
892.2606,12.78,26,50,very dry
882.7467,13.71,28,45,very dry
896.0457,12.41,26,48,very dry
933.999,8.7,14,74,very dry
923.769,9.7,33,50,very dry
889.6008,13.04,20,49,very dry
900.24,12,14,77,very dry
843.5658,17.54,24,45,very dry
794.0526,22.38,33,60,dry
940.2393,8.09,12,72,very dry
958.4487,6.31,39,42,very dry
922.2345,9.85,16,53,very dry
958.0395,6.35,39,54,very dry
920.0862,10.06,22,49,very dry
917.5287,10.31,19,48,very dry
912.0045,10.85,25,51,very dry
904.0251,11.63,38,40,very dry
959.3694,6.22,34,65,very dry
